link_id;ticket_id;ticket_barcode;bracelet_id;bracelet_uid;timestamp;actie
155;146926;39189317;1622213;040986EAA95281;2017-04-14 22:28:05.030;linktoken
156;116419;1983651446481;1622631;045015EAA95284;2017-04-14 22:28:19.107;linktoken
157;129227;4032497520729;1622685;045A0DEAA95285;2017-04-14 22:28:26.960;linktoken
158;116512;1052543885513;1622700;04920BEAA95284;2017-04-14 22:29:08.323;linktoken
159;147278;28628754;1621521;044B70EAA95281;2017-04-14 22:29:30.170;linktoken
160;143406;6182199041737;1583135;0431F0EAA95281;2017-04-14 22:29:50.343;linktoken
161;143408;2747649004744;1582444;045F96EAA95281;2017-04-14 22:30:00.607;linktoken
162;143407;8588894704270;1583138;04867FEAA95281;2017-04-14 22:30:09.383;linktoken
163;143405;1481495062633;1582462;04328BEAA95280;2017-04-14 22:30:24.240;linktoken
164;142956;4937489971643;1583149;048599EAA95280;2017-04-14 22:30:52.713;linktoken
165;134076;6842048403979;1582440;04647FEAA95280;2017-04-14 22:30:58.373;linktoken
166;134078;4525779410387;1583142;047BEBEAA95280;2017-04-14 22:31:19.677;linktoken
167;134075;8597695679120;1583192;04EFC8EAA95280;2017-04-14 22:31:33.163;linktoken
169;121121;4988046160772;1621491;045589EAA95280;2017-04-14 22:31:46.967;linktoken
170;138457;7216798403845;1622687;0455E1EAA95280;2017-04-14 22:31:54.690;linktoken
171;121120;5876180703841;1622673;046C78EAA95281;2017-04-14 22:31:58.380;linktoken
172;134077;3545160754129;1583132;04E6A4EAA95280;2017-04-14 22:32:15.950;linktoken
173;119396;3699397355519;1620601;047A9FEAA95280;2017-04-14 22:33:05.650;linktoken
174;137703;6290507473061;1583140;044DB6EAA95281;2017-04-14 22:33:23.500;linktoken
176;138417;4687820741267;1620922;044C89EAA95280;2017-04-14 22:33:35.650;linktoken
177;138424;3127028113424;1622655;0452F2EAA95281;2017-04-14 22:33:47.460;linktoken
178;138424;3127028113424;1622655;;2017-04-14 22:33:47.930;removetoken
179;143059;7108151865233;1582437;04CAE2EAA95280;2017-04-14 22:34:10.227;linktoken
180;143058;3215882948785;1583183;0427EBEAA95280;2017-04-14 22:34:25.113;linktoken
181;123640;3778505599851;1583143;0485AAEAA95281;2017-04-14 22:34:46.433;linktoken
182;123641;8720904881148;1583145;0407ECEAA95281;2017-04-14 22:35:00.137;linktoken
183;123639;1439016019734;1581803;047DD2EAA95280;2017-04-14 22:35:14.113;linktoken
184;128534;3606689990181;1581838;04B8B7EAA95280;2017-04-14 22:36:38.980;linktoken
185;128535;4602471382003;1583215;042AE2EAA95280;2017-04-14 22:36:39.503;linktoken
186;118884;1899367551350;1620620;047598EAA95281;2017-04-14 22:36:52.107;linktoken
187;131811;7447197201958;1583196;042EEEEAA95280;2017-04-14 22:36:58.070;linktoken
188;139368;2021011684322;1622649;043CDCEAA95281;2017-04-14 22:36:58.073;linktoken
189;139368;2021011684322;1622649;;2017-04-14 22:36:58.430;removetoken
190;139369;7819104572862;1622064;0446B5EAA95281;2017-04-14 22:37:00.783;linktoken
191;121130;3618744377400;1622473;0485D5EAA95280;2017-04-14 22:37:37.637;linktoken
192;141346;7518011590005;1581819;04DA08EAA95284;2017-04-14 22:37:41.217;linktoken
193;121132;7618107645340;1622065;045DB4EAA95281;2017-04-14 22:37:45.987;linktoken
194;134490;5552243233950;1582434;0443E1EAA95280;2017-04-14 22:37:53.880;linktoken
195;121131;3209015430001;1622645;04D3DAEAA95280;2017-04-14 22:37:55.553;linktoken
196;118200;3937141261618;1620900;0474ABEAA95281;2017-04-14 22:38:09.057;linktoken
197;119341;9059105657092;1622791;04EE9CEAA95280;2017-04-14 22:38:09.123;linktoken
198;120368;9196878977917;1620600;048898EAA95281;2017-04-14 22:38:16.460;linktoken
199;119342;5383276999007;1621611;0453B4EAA95281;2017-04-14 22:38:22.160;linktoken
200;134488;1170307320947;1582432;04F810EAA95284;2017-04-14 22:38:24.880;linktoken
201;134489;1255741252921;1583170;044981EAA95280;2017-04-14 22:38:36.127;linktoken
202;118199;6553895768417;1622715;04AC73EAA95280;2017-04-14 22:38:36.710;linktoken
203;139426;6494822081363;1583175;044F0FEAA95285;2017-04-14 22:38:45.573;linktoken
204;119343;6927916653912;1622710;04A1E9EAA95280;2017-04-14 22:38:48.490;linktoken
206;132510;6907200954284;1583171;04A6F1EAA95280;2017-04-14 22:38:48.560;linktoken
207;117363;2747750606820;1622661;04F87FEAA95280;2017-04-14 22:39:03.250;linktoken
208;131169;4870736894381;1582453;04BBF0EAA95280;2017-04-14 22:39:04.713;linktoken
209;119340;4007877612462;1622689;040D91EAA95281;2017-04-14 22:39:05.633;linktoken
210;128750;3975825383317;1583137;044BDBEAA95281;2017-04-14 22:39:05.693;linktoken
